,trend,trend_squared,trend_cubed,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_13,lag_14,lag_15,lag_17,lag_19,lag_20,lag_22,lag_24,lag_26,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,weather_weather_code (wmo code),weather_temperature_2m_max (°C),weather_apparent_temperature_max (°C),weather_apparent_temperature_min (°C),weather_wind_speed_10m_max (km/h),weather_wind_gusts_10m_max (km/h),weather_wind_direction_10m_dominant (°),weather_shortwave_radiation_sum (MJ/m²),weather_et0_fao_evapotranspiration (mm),weather_sunrise (iso8601),weather_sunset (iso8601),weather_daylight_duration (s),weather_sunshine_duration (s),weather_uv_index_max (),weather_uv_index_clear_sky_max (),weather_rain_sum (mm),weather_showers_sum (mm),weather_snowfall_sum (cm),weather_precipitation_sum (mm),weather_precipitation_hours (h),weather_temperature_2m_min (°C),is_weekend,is_holiday
2024-03-23,813.0,660969.0,537367797.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9867305793119814,0.1623661413307638,0.3204232733919112,-0.9472744722987169,-0.8826787983255475,-0.4699767430273199,-0.6070575744291004,0.794657851737625,0.6855476064742153,0.728027801156985,0.8296770135526187,-0.5582437220268651,6.42460272,7.92460272,6.72460272,9.38860272,9.37660272,9.37660272,7.87660272,5.22460272,8.18860272,6.68860272,5.23660272,5.23660272,9.40060272,9.699044387,5.26060272,5.26060272,9.657194387,7.92460272,8.15603129142857,7.5294740582857145,7.409393511233333,1.269993025852622,6.42460272,9.38860272,73,8.2,5.2,-1.0,27.5,56.9,267,12.28,1.38,0.0,0.0,44597.66,37889.88,4.35,4.4,11.6,0.0,0.63,12.5,17.0,3.6,1,0
2024-03-24,814.0,662596.0,539353144.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9893724130196829,0.14540367380369,0.28771676722616724,-0.9577155432887803,-0.9057022630804714,-0.42391439070986087,-0.5511016400746006,0.834438123713847,0.7454378568682996,0.6665751282095639,0.7678804460366003,-0.6405931786981749,6.67660272,6.42460272,7.92460272,6.72460272,9.38860272,9.37660272,9.37660272,7.87660272,8.356801456,8.18860272,6.68860272,6.43660272,9.43660272,9.40060272,7.91260272,5.30860272,10.081094387,8.21260272,7.98460272,7.528616915428571,7.413793511233333,1.389376838730234,6.42460272,9.38860272,71,8.7,2.2,-2.3,31.8,63.0,264,10.49,1.45,0.0,0.0,44830.07,26395.16,3.45,4.25,2.6,0.0,0.07,2.7,15.0,2.8,1,0
2024-03-25,815.0,664225.0,541343375.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9917226741361015,0.12839835514655099,0.2546711202412288,-0.9670277247913204,-0.9263239682514948,-0.3767278936351856,-0.4925480679538645,0.8702852410301551,0.7998392447397196,0.600214280548368,0.6979441547663443,-0.7161521883143925,9.38860272,6.67660272,6.42460272,7.92460272,6.72460272,9.38860272,9.37660272,9.37660272,9.38860272,8.356801456,8.18860272,5.23660272,5.23660272,9.43660272,9.699044387,5.26060272,5.26060272,9.657194387,7.986317005714286,7.614331201142858,7.551393511233333,1.391386564340978,6.42460272,9.38860272,3,11.2,7.6,-2.4,15.2,29.5,160,15.31,2.17,0.0,0.0,45062.18,40019.28,4.55,4.55,0.0,0.0,0.0,0.0,0.0,1.0,0,0
2024-03-26,816.0,665856.0,543338496.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9937806700284985,0.11135519690480875,0.22132528438243243,-0.9752000402445825,-0.9444892287836613,-0.32854238191083474,-0.43167285247378356,0.9020302369860709,0.8483511978123042,0.5294338912181847,0.6206094818274228,-0.7841198065767104,9.36460272,9.38860272,6.67660272,6.42460272,7.92460272,6.72460272,9.38860272,9.37660272,5.23660272,9.38860272,8.356801456,6.68860272,6.43660272,5.23660272,9.40060272,7.91260272,5.30860272,10.081094387,7.98460272,7.686317005714286,7.599393511233333,1.389394112554109,6.42460272,9.38860272,3,14.7,11.9,0.3,22.7,42.8,159,12.1,2.61,0.0,0.0,45293.87,31177.99,3.5,4.5,0.0,0.0,0.0,0.0,0.0,5.6,0,0
2024-03-27,817.0,667489.0,545338513.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9955457941960382,0.09427922177542453,0.18771856543719884,-0.9822228566828406,-0.9601498736716017,-0.2794856348516098,-0.3687629311922604,0.9295234803804002,0.8906165093267403,0.45475513555610586,0.5366961939916012,-0.8437755598231852,8.16460272,9.36460272,9.38860272,6.67660272,6.42460272,7.92460272,6.72460272,9.38860272,5.23660272,5.23660272,9.38860272,8.18860272,5.23660272,6.43660272,9.43660272,9.699044387,5.26060272,5.26060272,7.8097455771428566,7.598888434285714,7.597793511233333,1.2536383620714422,6.42460272,9.38860272,53,10.3,6.1,1.5,21.6,42.1,199,6.3,1.36,0.0,0.0,45524.98,10583.12,2.95,4.4,2.1,0.0,0.0,2.1,7.0,6.2,0,0
2024-03-28,818.0,669124.0,547343432.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9970175264485267,0.07717546212664653,0.15389057670406214,-0.9880878960910771,-0.9732643737003823,-0.2296877421317963,-0.30411483232751857,0.9526353808033823,0.9263239682514948,0.3767278936351857,0.44709379298511526,-0.8944870822287949,5.21260272,8.16460272,9.36460272,9.38860272,6.67660272,6.42460272,7.92460272,6.72460272,5.22460272,5.23660272,5.23660272,8.356801456,6.68860272,5.23660272,5.23660272,9.40060272,7.91260272,5.30860272,7.593745577142856,7.597174148571428,7.449640455666667,1.5636857557889234,5.21260272,9.38860272,55,10.0,4.2,-0.3,33.6,67.3,198,11.87,2.2,0.0,0.0,45755.38,26824.69,4.4,4.4,2.5,0.0,0.0,2.5,7.0,5.4,0,0
2024-03-29,819.0,670761.0,549353259.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.998195433059714,0.060048958514948375,0.11988119229922739,-0.99278824516254,-0.9837979515735163,-0.1792807588107359,-0.23803327706148592,0.9712569994658313,0.9552106508146315,0.29592670134728977,0.35275208654909523,-0.9357168190404935,6.41260272,5.21260272,8.16460272,9.36460272,9.38860272,6.67660272,6.42460272,7.92460272,7.87660272,5.22460272,5.23660272,9.38860272,8.18860272,6.68860272,6.43660272,9.43660272,9.699044387,5.26060272,7.377745577142856,7.681174148571428,7.3273574000999995,1.6139867232592666,5.21260272,9.38860272,53,12.9,8.6,2.3,31.3,59.4,194,9.24,1.81,0.0,0.0,45984.92,17560.61,3.55,4.55,3.3,0.0,0.0,3.3,13.0,6.6,0,0
2024-03-30,820.0,672400.0,551368000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990791668951153,0.042904758199554596,0.08573050015569475,-0.9963183634476755,-0.9917226741361014,-0.12839835514655154,-0.17082974322534497,0.9853005626861089,0.9770638564833506,0.2129465199384167,0.2546711202412299,-0.96702772479132,6.41260272,6.41260272,5.21260272,8.16460272,9.36460272,9.38860272,6.67660272,6.42460272,9.37660272,7.87660272,5.22460272,5.23660272,8.356801456,8.18860272,5.23660272,5.23660272,9.40060272,7.91260272,7.376031291428572,7.766031291428571,7.3657574001,1.6151737633190826,5.21260272,9.38860272,53,15.8,12.2,3.7,35.4,67.3,194,11.26,1.76,0.0,0.0,46213.47,21868.82,4.45,4.65,1.2,0.0,0.0,1.2,3.0,5.8,1,0
2024-03-31,821.0,674041.0,553387661.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.999668467514313,0.025747913654988658,0.05147875477034673,-0.9986740898848305,-0.9970175264485267,-0.07717546212664643,-0.1028209971373608,0.9946998756145891,0.9917226741361014,0.12839835514655165,0.15389057670406195,-0.9880878960910772,6.67660272,6.41260272,6.41260272,5.21260272,8.16460272,9.36460272,9.38860272,6.67660272,9.37660272,9.37660272,7.87660272,5.23660272,9.38860272,8.356801456,6.68860272,6.43660272,9.43660272,9.699044387,7.376031291428572,7.680317005714286,7.4113574001,1.6151737633190826,5.21260272,9.38860272,61,16.0,12.4,3.5,19.6,39.6,157,11.57,2.0,0.0,0.0,46440.87,31635.48,3.75,4.6,3.1,0.0,0.0,3.1,4.0,5.8,1,0
2024-04-01,822.0,675684.0,555412248.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999631612477099,0.008583481082087055,0.01716632975470737,-0.9998526477050269,-0.999668467514313,-0.025747913654989,-0.034327600513243496,0.9994106342455052,0.9990791668951153,0.04290475819955395,0.05147875477034742,-0.9986740898848304,9.36460272,6.67660272,6.41260272,6.41260272,5.21260272,8.16460272,9.36460272,9.38860272,9.38860272,9.37660272,9.37660272,5.22460272,5.23660272,9.38860272,8.18860272,5.23660272,5.23660272,9.40060272,7.372602720000001,7.679459862857143,7.548157400099999,1.6102074400523811,5.21260272,9.36460272,55,12.6,7.8,3.6,23.8,46.1,221,9.84,1.68,0.0,0.0,46666.97,18214.97,3.05,4.55,3.2,0.0,0.0,3.2,11.0,7.7,0,0
