Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/12  03:00:00,9764491.964956302,9764491.964956302,7686643.841703565 
 01/12  04:00:00,10645803.530479878,10645803.530479878,8806254.820683828 
 01/12  05:00:00,9950075.577534385,9950075.577534385,9677741.659198925 
 01/12  06:00:00,12194640.047164138,12194640.047164138,9781837.663074229 
 01/12  07:00:00,16759135.95106055,16759135.951060552,10933911.362288024 
 01/12  08:00:00,12736527.501779659,12736527.501779659,10111716.84998595 
 01/12  09:00:00,10928226.227825642,10928226.22782564,7936916.820622135 
 01/12  10:00:00,9798285.22419856,9798285.224198557,6504815.475883204 
 01/12  11:00:00,9799187.972936433,9799187.972936433,5659872.916832784 
 01/12  12:00:00,8720824.022019522,8720824.022019522,3338814.884396793 
 01/12  13:00:00,7651679.750745853,7651679.750745853,1829662.6885424585 
 01/12  14:00:00,8361871.480631993,8361871.480631993,537314.5549976171 
 01/12  15:00:00,6449853.270033719,6449853.270033717,0.0 
 01/12  16:00:00,8522309.142833035,8522309.142833035,0.0 
 01/12  17:00:00,9923256.846629215,9923256.846629215,1315001.522079057 
 01/12  18:00:00,17492588.276500706,17492588.276500706,3818483.6838187594 
 01/12  19:00:00,17909601.514869593,17909601.514869593,6152962.811068895 
 01/12  20:00:00,17843370.01058013,17843370.01058013,7950311.030589056 
 01/12  21:00:00,17717691.18870343,17717691.18870343,9713269.268957239 
 01/12  22:00:00,16268889.410030019,16268889.410030019,11077378.649109345 
 01/12  23:00:00,14487382.070456987,14487382.070456987,11814972.33631613 
 01/12  24:00:00,13522662.692452047,13522662.692452043,12516182.826984327 
 01/13  01:00:00,10239797.890712721,10239797.89071272,12403474.965737153 
 01/13  02:00:00,10973833.228161613,10973833.228161613,13034132.895372333 
 01/13  03:00:00,10032289.114520427,10032289.114520425,13401731.052346975 
 01/13  04:00:00,10898051.927087847,10898051.927087847,14189620.217426956 
 01/13  05:00:00,10187792.874665044,10187792.874665044,14750891.566848846 
 01/13  06:00:00,12358529.229496822,12358529.229496822,13278576.280669931 
 01/13  07:00:00,16773489.837215103,16773489.837215103,11227695.17151219 
 01/13  08:00:00,12816503.132068329,12816503.132068329,11804295.44169717 
 01/13  09:00:00,11014318.520215012,11014318.52021501,9760969.971614216 
 01/13  10:00:00,9781971.430732844,9781971.430732843,6146275.331990631 
 01/13  11:00:00,9680538.628019864,9680538.628019864,3118439.433595932 
 01/13  12:00:00,8620459.95833604,8620459.95833604,1190254.8857782057 
 01/13  13:00:00,7566120.957242833,7566120.957242833,0.0 
 01/13  14:00:00,8336720.897027924,8336720.897027924,0.0 
 01/13  15:00:00,6449731.9029013,6449731.902901299,0.0 
 01/13  16:00:00,8522110.536286306,8522110.536286306,0.0 
 01/13  17:00:00,9861525.240656888,9861525.240656886,0.0 
 01/13  18:00:00,17379688.481848966,17379688.481848966,1400474.889049183 
 01/13  19:00:00,17729933.263199016,17729933.263199016,2309022.1010862733 
 01/13  20:00:00,17640502.321981043,17640502.321981043,3609459.099504112 
 01/13  21:00:00,17553595.09944889,17553595.099448886,6202869.74852893 
 01/13  22:00:00,16115002.108939655,16115002.108939653,7786822.771577842 
 01/13  23:00:00,14872660.658074372,14872660.658074372,8812285.535813034 
 01/13  24:00:00,12978156.818434602,12978156.8184346,11824223.474017581 
 01/14  01:00:00,10282050.635562124,10282050.635562122,13305195.249528226 
 01/14  02:00:00,11001151.177386936,11001151.177386936,13616854.283222537 
