dataset,forecast_algo,n_duplicates,n_unique_signatures,is_consistent,chosen_source_dir
LUCID_2,XGB,39,1,True,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_XGB
LUCID_3,ARIMA,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_ARIMA
LUCID_3,HybridKNNMLP,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP
LUCID_3,HybridLRXGB,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB
LUCID_3,HybridLassoMLP,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP
LUCID_3,HybridLassoXGB,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB
LUCID_3,KNN,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_KNN
LUCID_3,LR,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_LR
LUCID_3,LSVR,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_LSVR
LUCID_3,Lasso,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_Lasso
LUCID_3,MLP,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_MLP
LUCID_3,SARIMAX,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX
LUCID_3,SGD,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_SGD
LUCID_3,SVR,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_SVR
LUCID_3,XGB,39,1,True,ECOS2026/results/LUCID_3/cpd_Binseg_ms28_d1_w28/forecast_XGB
