dataset,forecast_algo,rmse,mae,mape,source_dir,selected_lags,param_trend_order,param_fourier_order,param_use_weekly,param_xgb_depth,param_xgb_n_estimators,param_xgb_lr,param_alpha,param_lasso_alpha,param_mlp_hidden,param_mlp_lr,param_hidden_layer_sizes,param_C,param_max_depth,param_n_estimators,param_learning_rate,param_eta0,param_kernel,param_n_neighbors,param_knn_neighbors
LUCID_1,HybridLassoMLP,87968.8292619986,80874.29919376266,1.2887755681417404e+19,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,10.0,"64,32,128,64",0.01,,,,,,,,,
LUCID_1,HybridLassoXGB,88193.43409159855,81048.49038113252,1.28383629293105e+19,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,7.0,100.0,0.2,,10.0,,,,,,,,,,,
LUCID_1,KNN,5259.794366373834,3114.5403349737157,981347132292287.1,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_KNN,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,,,,,,,,,,3.0,
LUCID_1,LR,255303.54962146902,228818.79420262904,3.637406903702332e+19,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_LR,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,,,,,,,,,,,
LUCID_1,LSVR,5069.743819962064,2976.595822972228,1425660770852599.5,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_LSVR,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,,,,0.1,,,,,,,
LUCID_1,Lasso,42835.016791763584,39106.373556811195,6.0984192020727e+18,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_Lasso,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,0.1,,,,,,,,,,,,
LUCID_1,MLP,2655.1564993538977,1783.9649916554351,3.264280511910132e+16,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_MLP,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,,,"100,100,50,100,50,25,200,100",,,,,,,,
LUCID_1,SARIMAX,4348.821480520423,3619.076521143989,7.040230512102653e+17,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_SARIMAX,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,,,,,,,,,,,
LUCID_1,SGD,3855.025221097649,2311.685451627802,3.4166092608533576e+16,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_SGD,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,,,,,,,invscaling,0.01,,,
LUCID_1,SVR,4439.193126786821,2637.6403988624434,1045817860436437.5,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_SVR,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,,,,0.1,,,,,poly,,
LUCID_1,XGB,3037.7019538166055,2289.3807556332954,2.5876455502655254e+17,ECOS2026/results/LUCID_1/cpd_Binseg_ms28_d1_w28/forecast_XGB,"1,3,4,6,9,10,15,16,17,18,19",7,8,True,,,,,,,,,,10.0,50.0,0.5,,,,
