Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 02/01  01:00:00,6404338.596677196,6404338.596677196,0.0 
 02/01  02:00:00,6404338.596677196,6404338.596677196,0.0 
 02/01  03:00:00,6404338.596677196,6404338.596677196,0.0 
 02/01  04:00:00,6404338.596677196,6404338.596677196,0.0 
 02/01  05:00:00,6404338.596677196,6404338.596677196,0.0 
 02/01  06:00:00,6404338.596677196,6404338.596677196,0.0 
 02/01  07:00:00,7595938.596677196,7595938.596677196,0.0 
 02/01  08:00:00,5395258.596677196,5029514.30384055,0.0 
 02/01  09:00:00,5395258.596677196,3203925.219628702,0.0 
 02/01  10:00:00,5395258.596677196,1361871.9207896418,0.0 
 02/01  11:00:00,5395258.596677196,-5179599.104651786,0.0 
 02/01  12:00:00,5395258.596677196,-28246486.157020878,0.0 
 02/01  13:00:00,5395258.596677196,-31553532.1553189,0.0 
 02/01  14:00:00,5395258.596677196,-24030142.799047984,0.0 
 02/01  15:00:00,5395258.596677196,-8885262.60528327,0.0 
 02/01  16:00:00,5395258.596677196,-11251147.423903001,0.0 
 02/01  17:00:00,5395258.596677196,-1893040.6155444062,0.0 
 02/01  18:00:00,7595938.596677196,7595938.596677196,0.0 
 02/01  19:00:00,7595938.596677196,7595938.596677196,0.0 
 02/01  20:00:00,6794038.596677196,6794038.596677196,0.0 
 02/01  21:00:00,6794038.596677196,6794038.596677196,0.0 
 02/01  22:00:00,6794038.596677196,6794038.596677196,0.0 
 02/01  23:00:00,6794038.596677196,6794038.596677196,0.0 
 02/01  24:00:00,6794038.596677196,6794038.596677196,0.0 
 02/02  01:00:00,9469604.825749658,9469604.82574966,0.0 
 02/02  02:00:00,9469604.825749658,9469604.82574966,0.0 
 02/02  03:00:00,9469604.825749658,9469604.82574966,0.0 
 02/02  04:00:00,9469604.825749658,9469604.82574966,0.0 
 02/02  05:00:00,9469604.825749658,9469604.82574966,0.0 
 02/02  06:00:00,9469604.825749658,9469604.82574966,0.0 
 02/02  07:00:00,48474728.50285098,48474728.502850965,25606118.264758945 
 02/02  08:00:00,53330645.14683817,50819042.13204429,24438432.145088416 
 02/02  09:00:00,51290863.002218954,33967110.47196124,729784.2272436122 
 02/02  10:00:00,41969106.675102115,15265696.83047815,0.0 
 02/02  11:00:00,36279461.16978144,3055630.3100807653,0.0 
 02/02  12:00:00,37243411.091373876,391540.6386080934,0.0 
 02/02  13:00:00,34361297.48318489,-2770073.2354028323,0.0 
 02/02  14:00:00,35767747.0952696,1800617.6131924398,0.0 
 02/02  15:00:00,33038184.73798072,5838440.01568763,0.0 
 02/02  16:00:00,34559091.54915288,16375031.537936553,0.0 
 02/02  17:00:00,35083684.825896814,27660327.89340539,0.0 
 02/02  18:00:00,36277848.24798769,36277848.24798769,0.0 
 02/02  19:00:00,35122964.743602015,35122964.74360202,0.0 
 02/02  20:00:00,10883935.254119202,10883935.254119204,0.0 
 02/02  21:00:00,9899331.820964705,9899331.820964705,0.0 
 02/02  22:00:00,9899331.820964705,9899331.820964705,0.0 
 02/02  23:00:00,9013188.731125657,9013188.731125657,0.0 
 02/02  24:00:00,7265454.451684226,7265454.451684226,0.0 
 02/03  01:00:00,9469604.825749658,9469604.82574966,0.0 
 02/03  02:00:00,9469604.825749658,9469604.82574966,0.0 
 02/03  03:00:00,9469604.825749658,9469604.82574966,0.0 
 02/03  04:00:00,9469604.825749658,9469604.82574966,0.0 
 02/03  05:00:00,9469604.825749658,9469604.82574966,0.0 
 02/03  06:00:00,9469604.825749658,9469604.82574966,0.0 
 02/03  07:00:00,44329904.47371476,44329904.473714754,4694632.734495935 
 02/03  08:00:00,50335726.07867234,48430238.547781155,2498282.202025428 
 02/03  09:00:00,43407122.297439605,30415223.375622883,0.0 
 02/03  10:00:00,39318576.06522204,21092110.654670246,0.0 
 02/03  11:00:00,36957963.62927361,29246408.5822777,0.0 
 02/03  12:00:00,37791914.772179835,28716636.965697356,0.0 
 02/03  13:00:00,36941886.78883784,22543444.927262764,0.0 
 02/03  14:00:00,35096250.69945915,22021272.042770594,0.0 
 02/03  15:00:00,31858932.156957664,11045354.387334714,0.0 
 02/03  16:00:00,33667738.84127486,25372420.310777258,0.0 
 02/03  17:00:00,34041872.079989046,28768798.09257765,0.0 
 02/03  18:00:00,36119694.638941586,36119694.638941586,0.0 
 02/03  19:00:00,32876357.132271074,32876357.132271074,0.0 
 02/03  20:00:00,10883935.254119202,10883935.254119204,0.0 
 02/03  21:00:00,9899331.820964705,9899331.820964705,0.0 
 02/03  22:00:00,9899331.820964705,9899331.820964705,0.0 
 02/03  23:00:00,9013188.731125657,9013188.731125657,0.0 
 02/03  24:00:00,7265454.451684226,7265454.451684226,0.0 
 02/04  01:00:00,9469604.825749658,9469604.82574966,0.0 
 02/04  02:00:00,9469604.825749658,9469604.82574966,0.0 
 02/04  03:00:00,9469604.825749658,9469604.82574966,0.0 
 02/04  04:00:00,9469604.825749658,9469604.82574966,0.0 
 02/04  05:00:00,9469604.825749658,9469604.82574966,0.0 
 02/04  06:00:00,9469604.825749658,9469604.82574966,0.0 
 02/04  07:00:00,44339742.42187403,44339742.42187403,1627965.2221625529 
