Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 08/14  17:00:00,182414880.76360536,182414880.76360536,125264343.95516832 
 08/14  18:00:00,182716089.28625387,182716089.28625387,141569980.25287095 
 08/14  19:00:00,168199916.7117859,168199916.7117859,136731347.17386106 
 08/14  20:00:00,154575391.27066332,154575391.27066332,117403049.29924457 
 08/14  21:00:00,142904462.39308405,142904462.39308408,122091160.36130217 
 08/14  22:00:00,101857468.58892497,101857468.58892497,80351529.4574897 
 08/14  23:00:00,65355428.52448478,65355428.52448478,39233846.392988935 
 08/14  24:00:00,43502483.93761189,43502483.937611885,30109057.596692618 
 08/15  01:00:00,17904850.084872983,17904850.084872983,9928834.732080001 
 08/15  02:00:00,20480786.633131724,20480786.633131724,13187284.09812 
 08/15  03:00:00,19446367.10618212,19446367.10618212,9928834.732080001 
 08/15  04:00:00,27645728.658136208,27645728.658136208,19704182.8302 
 08/15  05:00:00,27175443.44091244,27175443.44091244,19704182.8302 
 08/15  06:00:00,28340688.32020734,28340688.320207335,19704182.8302 
 08/15  07:00:00,27013047.91702035,27013047.91702035,19704182.8302 
 08/15  08:00:00,26085427.96354512,26085427.96354512,19704182.8302 
 08/15  09:00:00,29108928.06086895,29108928.060868952,19704182.8302 
 08/15  10:00:00,36268985.179422796,36268985.179422796,19704182.8302 
 08/15  11:00:00,78846069.26431352,78846069.26431353,71719040.26958497 
 08/15  12:00:00,99574465.01542443,99574465.01542445,99548392.81015472 
 08/15  13:00:00,110852137.52380396,110852137.52380396,95024101.06211877 
 08/15  14:00:00,125383745.28427266,125383745.28427266,108511842.8002145 
 08/15  15:00:00,138944594.5375923,138944594.5375923,108975599.56774527 
 08/15  16:00:00,158519030.09295076,158519030.09295076,124419162.73559758 
 08/15  17:00:00,166294791.01835126,166294791.01835126,125277960.97341193 
 08/15  18:00:00,162309234.25875846,162309234.25875846,141571044.4961379 
 08/15  19:00:00,158880849.21239132,158880849.21239132,135166877.8464186 
