Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 10/11  21:00:00,5894038.596677196,5894038.596677196,0.0 
 10/11  22:00:00,5894038.596677196,5894038.596677196,0.0 
 10/11  23:00:00,5894038.596677196,5894038.596677196,0.0 
 10/11  24:00:00,5504338.596677196,5504338.596677196,0.0 
 10/12  01:00:00,5504338.596677196,5504338.596677196,0.0 
 10/12  02:00:00,5729338.596677196,5729338.596677196,0.0 
 10/12  03:00:00,6404338.596677196,6404338.596677196,0.0 
 10/12  04:00:00,6404338.596677196,6404338.596677196,0.0 
 10/12  05:00:00,6404338.596677196,6404338.596677196,0.0 
 10/12  06:00:00,7595938.596677196,7595938.596677196,0.0 
 10/12  07:00:00,5395258.596677196,5395258.596677196,0.0 
 10/12  08:00:00,5395258.596677196,5395258.596677196,0.0 
 10/12  09:00:00,5395258.596677196,5395258.596677196,0.0 
 10/12  10:00:00,5395258.596677196,5395258.596677196,0.0 
 10/12  11:00:00,4720258.596677196,4720258.596677196,0.0 
 10/12  12:00:00,4495258.596677196,4495258.596677196,0.0 
 10/12  13:00:00,4495258.596677196,4495258.596677196,0.0 
 10/12  14:00:00,4495258.596677196,4495258.596677196,0.0 
 10/12  15:00:00,4495258.596677196,4495258.596677196,0.0 
 10/12  16:00:00,4495258.596677196,4495258.596677196,0.0 
 10/12  17:00:00,4495258.596677196,4495258.596677196,0.0 
 10/12  18:00:00,6145768.596677196,6145768.596677196,0.0 
 10/12  19:00:00,5894038.596677196,5894038.596677196,0.0 
 10/12  20:00:00,5894038.596677196,5894038.596677196,0.0 
 10/12  21:00:00,5894038.596677196,5894038.596677196,0.0 
 10/12  22:00:00,6344038.596677196,6344038.596677196,0.0 
 10/12  23:00:00,6794038.596677196,6794038.596677196,0.0 
 10/12  24:00:00,9469604.825749658,9469604.82574966,0.0 
 10/13  01:00:00,9469604.825749658,9469604.82574966,0.0 
 10/13  02:00:00,9469604.825749658,9469604.82574966,0.0 
 10/13  03:00:00,9469604.825749658,9469604.82574966,0.0 
 10/13  04:00:00,9469604.825749658,9469604.82574966,0.0 
