cpd_algo,forecast_algo,n_forecast_driven_better,n_tie,n_raw_better,n_missing
cpm1S,MLP,0,3,0,0
cpm1S,SARIMAX,0,3,0,0
cpm1S,SGD,0,3,0,0
cpm1S,SVR,0,3,0,0
cpm1S,XGB,0,3,0,0
cpmMS,ARIMA,0,3,0,0
cpmMS,HybridKNNMLP,0,3,0,0
cpmMS,HybridLRXGB,0,3,0,0
cpmMS,HybridLassoMLP,0,3,0,0
cpmMS,HybridLassoXGB,0,3,0,0
cpmMS,KNN,0,3,0,0
cpmMS,LR,0,3,0,0
cpmMS,LSVR,0,3,0,0
cpmMS,Lasso,0,3,0,0
cpmMS,MLP,0,3,0,0
cpmMS,SARIMAX,0,3,0,0
cpmMS,SGD,0,3,0,0
cpmMS,SVR,0,3,0,0
cpmMS,XGB,0,3,0,0
sbs,ARIMA,0,3,0,0
sbs,HybridKNNMLP,0,3,0,0
sbs,HybridLRXGB,0,3,0,0
sbs,HybridLassoMLP,0,3,0,0
sbs,HybridLassoXGB,0,3,0,0
sbs,KNN,0,3,0,0
sbs,LR,0,3,0,0
sbs,LSVR,0,3,0,0
sbs,Lasso,0,3,0,0
sbs,MLP,0,3,0,0
sbs,SARIMAX,0,3,0,0
sbs,SGD,0,3,0,0
sbs,SVR,0,3,0,0
sbs,XGB,0,3,0,0
wbs,ARIMA,0,3,0,0
wbs,HybridKNNMLP,0,3,0,0
wbs,HybridLRXGB,0,3,0,0
wbs,HybridLassoMLP,0,3,0,0
wbs,HybridLassoXGB,0,3,0,0
wbs,KNN,0,3,0,0
wbs,LR,0,3,0,0
wbs,LSVR,0,3,0,0
wbs,Lasso,0,3,0,0
wbs,MLP,0,3,0,0
wbs,SARIMAX,0,3,0,0
wbs,SGD,0,3,0,0
wbs,SVR,0,3,0,0
wbs,XGB,0,3,0,0
