,trend,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_12,lag_13,lag_14,lag_15,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129735844.4177651,773805559.1418608,767867808.8433838,1117879941.9450102,1460768443.168835,1509292829.2604046,1074314077.5643706,742834956.7797323,1701038333.4259558,1655921225.4002826,1585388589.004526,1230271484.69892,1119094929.1916616,1131967680.447356,1212065773.8364017,292603389.263926,767867808.8433838,1509292829.2604046,0,0
2004-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462902673.244586,1129735844.4177651,773805559.1418608,767867808.8433838,1117879941.9450102,1460768443.168835,1509292829.2604046,1074314077.5643706,1167081991.7711277,1701038333.4259558,1655921225.4002826,1585388589.004526,1174607585.7174065,1123218686.464503,1222375401.193418,318414644.60901123,767867808.8433838,1509292829.2604046,0,0
2004-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444730914.1971707,1462902673.244586,1129735844.4177651,773805559.1418608,767867808.8433838,1117879941.9450102,1460768443.168835,1509292829.2604046,750935610.7239636,1167081991.7711277,1701038333.4259558,1655921225.4002826,1165384454.9940875,1108133664.2357094,1222440517.1552515,307864757.3123823,767867808.8433838,1462902673.244586,0,0
2004-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1531137929.3309028,1444730914.1971707,1462902673.244586,1129735844.4177651,773805559.1418608,767867808.8433838,1117879941.9450102,1460768443.168835,410682314.8157652,750935610.7239636,1167081991.7711277,1701038333.4259558,1175437238.7315257,1095997921.0860627,1221856392.5700083,320026235.1389863,767867808.8433838,1531137929.3309028,1,0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209514112.4784005,1531137929.3309028,1444730914.1971707,1462902673.244586,1129735844.4177651,773805559.1418608,767867808.8433838,1117879941.9450102,742834956.7797323,410682314.8157652,750935610.7239636,1167081991.7711277,1188527834.52201,1099028786.850868,1244851497.9898582,319152417.1111516,767867808.8433838,1531137929.3309028,1,0
2004-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874277108.603504,1209514112.4784005,1531137929.3309028,1444730914.1971707,1462902673.244586,1129735844.4177651,773805559.1418608,767867808.8433838,1074314077.5643706,742834956.7797323,410682314.8157652,750935610.7239636,1203729163.05917,1107838893.8422637,1206144584.6250153,297582114.96958995,773805559.1418608,1531137929.3309028,0,0
2004-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914851053.3752066,874277108.603504,1209514112.4784005,1531137929.3309028,1444730914.1971707,1462902673.244586,1129735844.4177651,773805559.1418608,1509292829.2604046,1074314077.5643706,742834956.7797323,410682314.8157652,1223878519.3782194,1143850946.5965095,1192269167.8407755,266803601.9332929,874277108.603504,1531137929.3309028,0,0
2004-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1387312912.8830075,914851053.3752066,874277108.603504,1209514112.4784005,1531137929.3309028,1444730914.1971707,1462902673.244586,1129735844.4177651,1460768443.168835,1509292829.2604046,1074314077.5643706,742834956.7797323,1260675243.4446826,1189885086.318172,1204084136.5996094,269405189.70653296,874277108.603504,1531137929.3309028,0,0
2004-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2101848692.946232,1387312912.8830075,914851053.3752066,874277108.603504,1209514112.4784005,1531137929.3309028,1444730914.1971707,1462902673.244586,1117879941.9450102,1460768443.168835,1509292829.2604046,1074314077.5643706,1351953246.2592034,1263280415.9883049,1244489618.51969,417099120.8420138,874277108.603504,2101848692.946232,0,0
2004-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242887711.804078,2101848692.946232,1387312912.8830075,914851053.3752066,874277108.603504,1209514112.4784005,1531137929.3309028,1444730914.1971707,767867808.8433838,1117879941.9450102,1460768443.168835,1509292829.2604046,1465975645.9173331,1315680050.4557102,1267561814.5582988,538203622.0155933,874277108.603504,2242887711.804078,0,0
2004-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086492347.117551,2242887711.804078,2101848692.946232,1387312912.8830075,914851053.3752066,874277108.603504,1209514112.4784005,1531137929.3309028,773805559.1418608,767867808.8433838,1117879941.9450102,1460768443.168835,1545311991.3154259,1360374615.0234756,1271175612.6849105,588035415.016969,874277108.603504,2242887711.804078,1,0
2004-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367637046.209478,2086492347.117551,2242887711.804078,2101848692.946232,1387312912.8830075,914851053.3752066,874277108.603504,1209514112.4784005,1129735844.4177651,773805559.1418608,767867808.8433838,1117879941.9450102,1567900981.8484366,1378214408.185223,1265794841.3539124,575897882.8922893,874277108.603504,2242887711.804078,1,0
2004-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980257227.3703496,1367637046.209478,2086492347.117551,2242887711.804078,2101848692.946232,1387312912.8830075,914851053.3752066,874277108.603504,1462902673.244586,1129735844.4177651,773805559.1418608,767867808.8433838,1583040998.8151288,1393385080.9371493,1250846651.4582136,555661286.6612873,914851053.3752066,2242887711.804078,0,0
2004-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008421909.1433812,980257227.3703496,1367637046.209478,2086492347.117551,2242887711.804078,2101848692.946232,1387312912.8830075,914851053.3752066,1444730914.1971707,1462902673.244586,1129735844.4177651,773805559.1418608,1596408263.924868,1410143391.6515439,1245943526.0272653,537744564.7574455,980257227.3703496,2242887711.804078,0,0
2004-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373032684.3123157,1008421909.1433812,980257227.3703496,1367637046.209478,2086492347.117551,2242887711.804078,2101848692.946232,1387312912.8830075,1531137929.3309028,1444730914.1971707,1462902673.244586,1129735844.4177651,1594368231.271912,1427521737.3582976,1264611674.814198,538696258.4432275,980257227.3703496,2242887711.804078,0,0
2004-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945826108.2152004,1373032684.3123157,1008421909.1433812,980257227.3703496,1367637046.209478,2086492347.117551,2242887711.804078,2101848692.946232,1209514112.4784005,1531137929.3309028,1444730914.1971707,1462902673.244586,1572079290.5960505,1462016268.427627,1300298314.7397757,516989779.93017966,980257227.3703496,2242887711.804078,0,0
