Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/02  17:00:00,40745864.30222136,40745864.30222136,0.0 
 01/02  18:00:00,43757937.88253876,43757937.88253875,0.0 
 01/02  19:00:00,38973004.33605376,38973004.33605376,530988.243865446 
 01/02  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/02  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/02  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/02  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/02  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/03  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  07:00:00,44154754.19628732,44154754.19628733,13373142.589652145 
 01/03  08:00:00,50967504.09613881,50967504.0961388,11877647.668876776 
 01/03  09:00:00,45242903.372770846,45242903.37277086,987833.8357209401 
 01/03  10:00:00,39802326.63184639,39802326.63184639,0.0 
 01/03  11:00:00,34618426.414185725,34618426.41418573,0.0 
 01/03  12:00:00,33106307.876449402,33106307.876449406,0.0 
 01/03  13:00:00,29132793.74540714,29132793.745407138,0.0 
 01/03  14:00:00,31162977.68130799,31162977.681307994,0.0 
 01/03  15:00:00,29810549.938199498,29810549.938199498,0.0 
 01/03  16:00:00,31037958.345620595,31037958.345620595,0.0 
 01/03  17:00:00,33710918.729047395,33710918.729047395,0.0 
 01/03  18:00:00,34304065.50778281,34304065.5077828,0.0 
 01/03  19:00:00,33715668.6753031,33715668.6753031,0.0 
 01/03  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/03  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/03  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/03  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/03  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/04  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  07:00:00,38127104.51704462,38127104.51704462,4057957.102808239 
 01/04  08:00:00,47449687.78400983,47449687.78400983,4214814.040381894 
 01/04  09:00:00,44561357.27468833,44561357.274688326,0.0 
 01/04  10:00:00,43393854.53993815,43393854.53993815,0.0 
 01/04  11:00:00,40745187.47212823,40745187.472128235,0.0 
 01/04  12:00:00,43982966.38293156,43982966.38293156,0.0 
 01/04  13:00:00,47332149.98377275,47332149.98377274,0.0 
 01/04  14:00:00,44369233.775932476,44369233.77593248,0.0 
 01/04  15:00:00,42267284.03449034,42267284.03449033,0.0 
 01/04  16:00:00,45048115.23823055,45048115.23823055,0.0 
 01/04  17:00:00,46547278.79838841,46547278.79838842,0.0 
 01/04  18:00:00,49282170.45022273,49282170.45022273,4756868.453775065 
 01/04  19:00:00,31429035.229484096,31429035.2294841,29638414.518302813 
 01/04  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/04  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/04  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/04  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/04  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/05  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  07:00:00,20480754.579833083,20480754.579833083,70929026.6643496 
 01/05  08:00:00,21140892.111561283,21140892.111561287,96348371.72649734 
 01/05  09:00:00,30890398.659742802,30890398.65974281,59937811.87367278 
 01/05  10:00:00,30186557.55965563,30186557.559655637,53136765.356154576 
 01/05  11:00:00,29920807.721674215,29920807.72167422,43546880.58966194 
 01/05  12:00:00,30025722.39116776,30025722.391167764,43219996.87328139 
 01/05  13:00:00,28337591.875013232,28337591.875013236,54010483.51400284 
 01/05  14:00:00,30022387.943293396,30022387.9432934,37932158.8038903 
 01/05  15:00:00,30046403.80904586,30046403.809045862,29522161.59186624 
 01/05  16:00:00,30329662.77800927,30329662.77800927,27345735.995710477 
 01/05  17:00:00,32196393.980752088,32196393.98075209,30784572.229849834 
 01/05  18:00:00,24689357.65556012,24689357.65556012,63703958.042888924 
 01/05  19:00:00,19227279.88026111,19227279.880261105,62914222.18609605 
 01/05  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/05  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/05  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/05  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/05  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/06  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  07:00:00,45669336.064843446,45669336.06484344,17375514.563242357 
 01/06  08:00:00,49748246.02269995,49748246.02269995,16370449.443835476 
 01/06  09:00:00,46106650.127155945,46106650.12715595,767106.311055982 
