,trend,trend_squared,trend_cubed,trend**4,trend**5,"cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)","sin(7,freq=YE-DEC)","cos(7,freq=YE-DEC)","sin(8,freq=YE-DEC)","cos(8,freq=YE-DEC)",lag_2,lag_3,lag_4,lag_5,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-01-25,755.0,570025.0,430368875.0,324928500625.0,245321017971875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847246303.0344374,842408544.2434207,844925553.3612447,855045408.108259,849176486.8132101,857122510.5452335,864500435.8514984,6934638.216564551,842408544.2434207,861011543.948744,1,0
2004-01-26,756.0,571536.0,432081216.0,326653399296.0,246949969867776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842608758.3093147,847246303.0344374,842408544.2434207,844925553.3612447,846471860.1876428,856346717.4075453,863405870.4207796,4960405.088802104,842079157.569773,855045408.108259,0,0
2004-01-27,757.0,573049.0,433798093.0,328385156401.0,248587563395557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842079157.569773,842608758.3093147,847246303.0344374,842408544.2434207,845469166.1927843,855038331.8055114,862487656.801997,4590675.730147449,842079157.569773,855045408.108259,0,0
2004-01-28,758.0,574564.0,435519512.0,330123790096.0,250233832892768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843970438.7230405,842079157.569773,842608758.3093147,847246303.0344374,844298409.7701645,853614519.1880863,861665746.6530243,2123430.126908019,842079157.569773,847246303.0344374,0,0
2004-01-29,759.0,576081.0,437245479.0,331869318561.0,251888812787799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846850113.149921,843970438.7230405,842079157.569773,842608758.3093147,844951717.4480174,851949550.2410393,861373119.9235346,2907342.4253394674,842079157.569773,849498707.1062138,0,0
2004-01-30,760.0,577600.0,438976000.0,333621760000.0,253552537600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849498707.1062138,846850113.149921,843970438.7230405,842079157.569773,846931126.3241864,851066794.2490026,861380340.0972451,4912545.57607575,842079157.569773,856264406.3766056,0,0
2004-01-31,761.0,579121.0,440711081.0,335381132641.0,255225041939801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856264406.3766056,849498707.1062138,846850113.149921,843970438.7230405,848363749.2245548,850257840.0736821,860904100.6105341,6289159.816390446,842079157.569773,857274663.3370149,1,0
2004-02-01,762.0,580644.0,442450728.0,337147454736.0,256906360508832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857274663.3370149,856264406.3766056,849498707.1062138,846850113.149921,851468836.1139854,850322661.4635979,861091574.3864621,8083836.179265363,842079157.569773,864344366.5353298,1,0
2004-02-02,763.0,582169.0,444194947.0,338920744561.0,258596528100043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864344366.5353298,857274663.3370149,856264406.3766056,849498707.1062138,855688249.9528859,851080055.0702642,861285953.2959559,9875646.156002337,843970438.7230405,871615054.4420761,0,0
2004-02-03,764.0,583696.0,445943744.0,340701020416.0,260295579597824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871615054.4420761,864344366.5353298,857274663.3370149,856264406.3766056,859263161.054883,852366163.6238335,861395841.9440634,9446939.609026361,846850113.149921,871615054.4420761,0,0
2004-02-04,765.0,585225.0,447697125.0,342488300625.0,262003549978125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868994816.4370197,871615054.4420761,864344366.5353298,857274663.3370149,862538117.1815252,853418263.475845,860655148.5328124,8334682.221161678,849498707.1062138,871615054.4420761,0,0
2004-02-05,766.0,586756.0,449455096.0,344282603536.0,263720474308576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869774806.036416,868994816.4370197,871615054.4420761,864344366.5353298,866698121.8150623,855824919.6315397,859615434.1930517,8002315.257310191,856264406.3766056,878618739.5409737,0,0
2004-02-06,767.0,588289.0,451217663.0,346083947521.0,265446387748607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878618739.5409737,869774806.036416,868994816.4370197,871615054.4420761,871961150.9381062,859446138.6311463,859852247.8086928,11393119.231701486,857274663.3370149,893105610.2379124,0,0
2004-02-07,768.0,589824.0,452984832.0,347892350976.0,267181325549568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893105610.2379124,878618739.5409737,869774806.036416,868994816.4370197,877367416.5658222,862865582.8951886,860339422.0283545,12211988.570003148,864344366.5353298,895118522.7310277,1,0
2004-02-08,769.0,591361.0,454756609.0,349707832321.0,268925323054849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895118522.7310277,893105610.2379124,878618739.5409737,869774806.036416,880629654.2062541,866049245.1601199,860954186.4229916,11157868.51446789,868994816.4370197,895118522.7310277,1,0
2004-02-09,770.0,592900.0,456533000.0,351530410000.0,270678415700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887180030.0183536,895118522.7310277,893105610.2379124,878618739.5409737,881174691.2505064,868431470.6016961,861700731.7292047,10729079.281033853,868994816.4370197,895118522.7310277,0,0
2004-02-10,771.0,594441.0,458314011.0,353360102481.0,272440639012851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875430313.7518412,887180030.0183536,895118522.7310277,893105610.2379124,880577926.8695447,869920543.9622139,862155078.6465694,11600254.55299745,864817465.7702888,895118522.7310277,0,0
2004-02-11,772.0,595984.0,460099648.0,355196928256.0,274212028613632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864817465.7702888,875430313.7518412,887180030.0183536,895118522.7310277,879739209.9491165,871138663.5653208,862520529.5164363,12674060.205278955,863903787.5934181,895118522.7310277,0,0
