,trend,trend_squared,trend_cubed,trend**4,trend**5,"cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)","sin(7,freq=YE-DEC)","cos(7,freq=YE-DEC)","sin(8,freq=YE-DEC)","cos(8,freq=YE-DEC)",lag_1,lag_3,lag_4,lag_6,lag_9,lag_10,lag_15,lag_16,lag_17,lag_18,lag_19,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,weather_weather_code (wmo code),weather_temperature_2m_max (°C),weather_apparent_temperature_max (°C),weather_apparent_temperature_min (°C),weather_wind_speed_10m_max (km/h),weather_wind_gusts_10m_max (km/h),weather_wind_direction_10m_dominant (°),weather_shortwave_radiation_sum (MJ/m²),weather_et0_fao_evapotranspiration (mm),weather_sunrise (iso8601),weather_sunset (iso8601),weather_daylight_duration (s),weather_sunshine_duration (s),weather_uv_index_max (),weather_uv_index_clear_sky_max (),weather_rain_sum (mm),weather_showers_sum (mm),weather_snowfall_sum (cm),weather_precipitation_sum (mm),weather_precipitation_hours (h),weather_temperature_2m_min (°C),is_weekend,is_holiday
2024-01-21,751.0,564001.0,423564751.0,318097128001.0,238890943128751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16545.982598399998,13308.6602984,13498.3417184,13923.0410184,11764.3705184,15734.2035184,9688.29522143,979.152102745,124.972102675,125.032102675,3289.35022244,14196.684938399998,14898.099514189287,8425.169815158,1460.623112404226,12332.4690984,16545.982598399998,3,5.7,-1.9,-8.9,42.5,78.5,192,3.77,0.81,0.0,0.0,31355.37,10643.48,1.15,1.6,0.0,0.0,0.0,0.0,0.0,-2.2,1,0
2024-01-22,752.0,565504.0,425259008.0,319794774016.0,240485670060032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11898.017219965,12332.4690984,13308.6602984,15752.9568184,13714.47601935,11764.3705184,14486.3900185,9688.29522143,979.152102745,124.972102675,125.032102675,13894.209824337857,14713.215742865357,8817.774285734335,1703.4802261044867,11898.017219965,16545.982598399998,53,9.6,3.8,-1.9,46.4,92.2,222,2.69,0.8,0.0,0.0,31519.18,12860.95,1.15,1.5,2.6,0.1,0.0,2.6,6.0,5.8,0,0
2024-01-23,753.0,567009.0,426957777.0,321499206081.0,242088902178993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.75482129,16545.982598399998,12332.4690984,13498.3417184,14015.3430184,13714.47601935,17580.8980184,14486.3900185,9688.29522143,979.152102745,124.972102675,12475.311796179287,13742.491228786073,8818.337916994333,4110.874962499477,3990.75482129,16545.982598399998,53,10.1,4.5,-1.4,36.4,67.3,228,2.43,0.49,0.0,0.0,31686.44,10591.44,1.55,1.6,2.5,0.2,0.0,2.5,9.0,3.1,0,0
2024-01-24,754.0,568516.0,428661064.0,323210442256.0,243700673461024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4398.110601245,11898.017219965,16545.982598399998,13308.6602984,13923.0410184,14015.3430184,19236.5250184,17580.8980184,14486.3900185,9688.29522143,979.152102745,10853.190908014283,12682.60448470357,8854.330896296166,4786.701139003797,3990.75482129,16545.982598399998,51,11.4,6.0,2.7,37.5,79.6,245,4.0,0.85,0.0,0.0,31856.9,18816.24,1.35,1.6,1.8,0.0,0.0,1.8,11.0,6.7,0,0
2024-01-25,755.0,570025.0,430368875.0,324928500625.0,245321017971875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.009102675,3990.75482129,11898.017219965,12332.4690984,15752.9568184,13923.0410184,16679.7355184,19236.5250184,17580.8980184,14486.3900185,9688.29522143,8942.857677196427,11500.195455008929,8748.668620955334,6055.370097010179,126.009102675,16545.982598399998,51,8.9,5.6,-0.3,18.9,35.3,218,1.95,0.32,0.0,0.0,32030.31,2774.75,1.1,1.65,0.9,0.0,0.0,0.9,7.0,2.8,0,0
2024-01-26,756.0,571536.0,432081216.0,326653399296.0,246949969867776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.072102755,4398.110601245,3990.75482129,16545.982598399998,13498.3417184,15752.9568184,15734.2035184,16679.7355184,19236.5250184,17580.8980184,14486.3900185,7198.059363532856,10454.543211034284,8609.205130339667,6340.640081755029,126.009102675,16545.982598399998,53,10.3,6.1,-2.8,31.9,60.5,246,3.36,0.63,0.0,0.0,32206.41,13277.88,1.55,1.65,2.8,0.0,0.0,2.8,6.0,0.9,0,0
2024-01-27,757.0,573049.0,433798093.0,328385156401.0,248587563395557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2193.740102705,126.009102675,4398.110601245,11898.017219965,13308.6602984,13498.3417184,11764.3705184,15734.2035184,16679.7355184,19236.5250184,17580.8980184,5749.669507004999,9770.926752770358,8654.663763672334,6126.697255747382,126.009102675,16545.982598399998,3,6.7,3.5,-5.4,13.4,25.9,189,6.36,0.73,0.0,0.0,32384.99,27739.79,1.7,1.7,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
2024-01-28,758.0,574564.0,435519512.0,330123790096.0,250233832892768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11466.38860017,1095.072102755,126.009102675,3990.75482129,12332.4690984,13308.6602984,13714.47601935,11764.3705184,15734.2035184,16679.7355184,19236.5250184,5024.0132215435715,9610.349079971786,9032.459413588833,4789.797787864979,126.009102675,11898.017219965,3,11.8,8.5,-3.3,22.9,41.0,163,6.69,1.7,0.0,0.0,32565.8,27938.72,1.75,1.75,0.0,0.0,0.0,0.0,0.0,1.1,1,0
2024-01-29,759.0,576081.0,437245479.0,331869318561.0,251888812787799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337.875601495,2193.740102705,1095.072102755,4398.110601245,16545.982598399998,12332.4690984,14015.3430184,13714.47601935,11764.3705184,15734.2035184,16679.7355184,4229.707276047857,9061.958550192858,9239.6964635495,3823.4109319996446,126.009102675,11466.38860017,3,12.5,9.2,1.5,20.9,37.4,188,5.45,1.3,0.0,0.0,32748.62,24425.09,1.5,1.8,0.0,0.0,0.0,0.0,0.0,6.1,0,0
2024-01-30,760.0,577600.0,438976000.0,333621760000.0,253552537600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3878.55960139,11466.38860017,2193.740102705,126.009102675,11898.017219965,16545.982598399998,13923.0410184,14015.3430184,13714.47601935,11764.3705184,15734.2035184,4213.679387490714,8344.495591835,9235.3105968895,3824.8144854992197,126.009102675,11466.38860017,51,10.8,7.0,3.1,22.0,46.4,214,2.39,0.82,0.0,0.0,32933.22,3327.96,1.55,1.8,0.2,0.0,0.0,0.2,2.0,6.2,0,0
2024-01-31,761.0,579121.0,440711081.0,335381132641.0,255225041939801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.97760119,6337.875601495,11466.38860017,1095.072102755,3990.75482129,11898.017219965,15752.9568184,13923.0410184,14015.3430184,13714.47601935,11764.3705184,4168.374673197142,7510.782790605715,9235.117530222835,3824.1439643931626,126.009102675,11466.38860017,3,7.3,3.2,-0.4,22.8,42.1,218,6.36,0.87,0.0,0.0,33119.39,28248.29,1.85,1.85,0.0,0.0,0.0,0.0,0.0,3.1,0,0
