Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 03/17  21:00:00,17379425.346882336,17379425.346882336,939671.4316836555 
 03/17  22:00:00,16469009.771394249,16469009.771394249,2062666.7694064323 
 03/17  23:00:00,13904811.714906434,13904811.714906434,4484081.544404039 
 03/17  24:00:00,11981811.887689853,11981811.887689853,4637591.795952296 
 03/18  01:00:00,10960456.014305795,10960456.014305795,5180408.716023491 
 03/18  02:00:00,11864858.20595294,11864858.20595294,7650218.091773767 
 03/18  03:00:00,11034527.371607507,11034527.371607507,9394003.395568533 
 03/18  04:00:00,12088833.60709861,12088833.60709861,10349655.152394801 
 03/18  05:00:00,13441980.717372766,13441980.717372766,10090104.527134577 
 03/18  06:00:00,16981625.30980816,16981625.30980816,10023255.576280333 
 03/18  07:00:00,13544000.99680491,13544000.996804908,10686884.610523185 
 03/18  08:00:00,12883499.837673325,12883499.837673325,11530073.349271841 
 03/18  09:00:00,12656162.196169147,12656162.196169145,11250821.473892657 
 03/18  10:00:00,11391118.65156404,11391118.65156404,9329188.28060108 
 03/18  11:00:00,11069894.142190658,11069894.142190654,10239306.460459003 
 03/18  12:00:00,11046463.214586934,11046463.214586936,11348472.239109501 
 03/18  13:00:00,9970473.384944538,9970473.384944538,11181523.09210478 
 03/18  14:00:00,9903485.987748815,9903485.987748813,11050414.278015113 
 03/18  15:00:00,10129839.892137099,10129839.892137099,10628749.259671701 
 03/18  16:00:00,11764940.433092106,11764940.433092106,9416514.535678996 
 03/18  17:00:00,12906592.132756766,12906592.132756766,9732459.768758819 
 03/18  18:00:00,15061199.46035038,15061199.460350377,11442521.368988227 
 03/18  19:00:00,19834761.346661147,19834761.346661147,13496494.395297192 
 03/18  20:00:00,18724172.03254745,18724172.03254745,17257487.17441424 
 03/18  21:00:00,18225026.93745008,18225026.937450077,18652534.340623282 
 03/18  22:00:00,17341562.28961301,17341562.289613012,20339260.05304192 
 03/18  23:00:00,14753572.972101528,14753572.972101526,22259204.123897985 
 03/18  24:00:00,12831538.368284222,12831538.368284218,22431856.672502328 
 03/19  01:00:00,11745096.371823484,11745096.371823484,21611466.55671874 
 03/19  02:00:00,12622980.059347812,12622980.059347808,23526079.859785438 
