Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 02/16  19:00:00,193636452.28715175,193636452.28715178,186650207.49910834 
 02/16  20:00:00,182282093.13089278,182282093.1308928,182240002.788052 
 02/16  21:00:00,167936420.4150414,167936420.4150414,169869748.52835464 
 02/16  22:00:00,160028737.79719695,160028737.79719695,213722582.76507682 
 02/16  23:00:00,104316134.21909298,104316134.219093,215286992.47833169 
 02/16  24:00:00,64474506.14384918,64474506.14384918,186954234.29652482 
 02/17  01:00:00,56565368.807180345,56565368.80718034,108894051.1927104 
 02/17  02:00:00,23050095.28097251,23050095.28097251,9928834.732080001 
 02/17  03:00:00,28480374.0982031,28480374.0982031,13187284.09812 
 02/17  04:00:00,22794007.269121587,22794007.269121587,9928834.732080001 
 02/17  05:00:00,47081398.17846847,47081398.17846848,19704182.8302 
 02/17  06:00:00,101916088.78764331,101916088.78764331,183778044.10904726 
 02/17  07:00:00,115746543.40583566,115746543.40583566,176440276.01506716 
 02/17  08:00:00,121392351.74334562,121392351.74334562,140780832.07761383 
 02/17  09:00:00,139835881.85118037,139835881.85118037,112535887.75382492 
 02/17  10:00:00,156960354.53376567,156960354.53376567,100272402.96755198 
 02/17  11:00:00,196895512.88311404,196895512.88311404,150834813.77350384 
 02/17  12:00:00,216979669.01453868,216979669.0145387,160756661.95315814 
 02/17  13:00:00,200423822.98236015,200423822.98236018,150256019.5714118 
 02/17  14:00:00,188726984.8213085,188726984.82130852,133847093.15740484 
 02/17  15:00:00,174339767.63749525,174339767.6374953,115209916.99160707 
 02/17  16:00:00,174429104.2312332,174429104.23123324,116665773.71169841 
 02/17  17:00:00,190789378.89786944,190789378.89786947,132654227.37260643 
 02/17  18:00:00,198351178.04008347,198351178.0400835,137064435.85677862 
 02/17  19:00:00,192646916.99063545,192646916.9906355,144385938.01820686 
 02/17  20:00:00,181503405.74516177,181503405.74516177,144619551.9575516 
 02/17  21:00:00,167303874.0216191,167303874.02161914,121191167.62234885 
 02/17  22:00:00,158081692.9232369,158081692.92323694,124870570.41099435 
 02/17  23:00:00,101910271.45750777,101910271.45750777,106068904.38945349 
 02/17  24:00:00,62322736.430709094,62322736.430709094,65702860.21461917 
