Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 08/31  22:00:00,95467653.07229535,95467653.07229537,69950243.65755223 
 08/31  23:00:00,63898259.964962296,63898259.9649623,42831242.4544671 
 08/31  24:00:00,43386807.25086601,43386807.25086601,36250449.35151973 
 09/01  01:00:00,18003655.267835457,18003655.267835453,9928834.732080001 
 09/01  02:00:00,20674650.978744518,20674650.978744518,13187284.09812 
 09/01  03:00:00,19978120.11630921,19978120.11630921,9928834.732080001 
 09/01  04:00:00,34302277.12691453,34302277.12691453,19704182.8302 
 09/01  05:00:00,59442516.86675437,59442516.86675437,42513328.39248 
 09/01  06:00:00,68880629.17102464,68880629.17102464,54047000.95690018 
 09/01  07:00:00,71929064.99077043,71929064.99077044,68910187.62102975 
 09/01  08:00:00,82746367.87504366,82746367.87504368,70338937.10339695 
 09/01  09:00:00,96195264.27198333,96195264.27198334,88460795.39508377 
 09/01  10:00:00,137269657.65275273,137269657.65275273,136874810.55528566 
 09/01  11:00:00,159257878.7872859,159257878.78728592,152139680.2195346 
 09/01  12:00:00,155233047.69632617,155233047.69632614,132795633.93889019 
 09/01  13:00:00,145626994.73657534,145626994.73657537,122069954.56037231 
 09/01  14:00:00,129237751.09928486,129237751.09928486,113849842.61990513 
 09/01  15:00:00,120950565.55708659,120950565.5570866,104953805.20701773 
 09/01  16:00:00,128852531.81363052,128852531.81363052,123609756.64062801 
 09/01  17:00:00,135253707.1614554,135253707.1614554,125269378.1814581 
 09/01  18:00:00,133672308.70281681,133672308.70281681,130445324.77051517 
 09/01  19:00:00,133755063.15130685,133755063.15130685,130903817.98187199 
 09/01  20:00:00,125564795.93114133,125564795.93114133,108486212.31829777 
 09/01  21:00:00,110765408.36411196,110765408.36411195,110893398.30798563 
 09/01  22:00:00,71306243.65989658,71306243.65989658,79264818.11060965 
 09/01  23:00:00,48178844.50112919,48178844.50112918,30126821.518540654 
 09/01  24:00:00,42662421.912117034,42662421.91211702,39181103.462568566 
 09/02  01:00:00,16402087.192999836,16402087.192999836,9928834.732080001 
 09/02  02:00:00,21096446.92772545,21096446.92772545,13187284.09812 
 09/02  03:00:00,17526709.626826953,17526709.626826953,9928834.732080001 
 09/02  04:00:00,37084699.618077256,37084699.618077256,19704182.8302 
 09/02  05:00:00,59494640.349238016,59494640.34923802,42513328.39248 
 09/02  06:00:00,68848393.73000407,68848393.73000407,45771777.75852001 
