Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 10/30  02:00:00,10187516.29134507,10187516.29134507,16714450.603166439 
 10/30  03:00:00,10168326.515528956,10168326.515528955,17209373.367583193 
 10/30  04:00:00,11187133.12353136,11187133.12353136,17435029.018744938 
 10/30  05:00:00,12550110.17308273,12550110.17308273,17503438.023446444 
 10/30  06:00:00,16032933.687727664,16032933.687727664,17425758.1220758 
 10/30  07:00:00,12017256.989363771,12017256.989363771,16994386.311719447 
 10/30  08:00:00,10845756.868642677,10845756.868642678,17047299.71968744 
 10/30  09:00:00,9694488.094407728,9694488.094407728,16531783.273574324 
 10/30  10:00:00,9620327.459043488,9620327.459043488,16207141.029035961 
 10/30  11:00:00,8977427.341231167,8977427.341231167,16020345.403016703 
 10/30  12:00:00,8329118.12062426,8329118.120624263,16693702.25362844 
 10/30  13:00:00,8194538.61590342,8194538.615903419,16879583.34999583 
 10/30  14:00:00,8159597.1025769375,8159597.102576936,17381570.997948922 
 10/30  15:00:00,7506831.941974671,7506831.94197467,17667916.86472505 
 10/30  16:00:00,10125096.572142676,10125096.572142677,18185692.03692961 
 10/30  17:00:00,12680337.832292859,12680337.832292859,17197880.79367456 
 10/30  18:00:00,18369625.362680394,18369625.362680394,17170072.384108942 
 10/30  19:00:00,17260959.12930022,17260959.12930022,16795393.092588153 
 10/30  20:00:00,17544009.87094762,17544009.87094762,17060981.33354801 
 10/30  21:00:00,16089875.199229088,16089875.199229088,17702419.337223835 
 10/30  22:00:00,14674741.685716134,14674741.685716132,17716300.153359644 
 10/30  23:00:00,12933804.699150952,12933804.69915095,17800054.182009086 
 10/30  24:00:00,11419580.605193613,11419580.605193611,18868674.864029624 
 10/31  01:00:00,10383481.677456448,10383481.677456448,19087660.98690042 
 10/31  02:00:00,11121154.78421833,11121154.78421833,18048944.53239234 
 10/31  03:00:00,10224317.860782275,10224317.860782275,18404290.571462303 
 10/31  04:00:00,11251505.45028924,11251505.450289238,18808337.053069066 
 10/31  05:00:00,12583969.391094161,12583969.391094163,18225692.261579428 
 10/31  06:00:00,16042218.784966396,16042218.784966394,17597213.56013164 
 10/31  07:00:00,13520234.616233418,13520234.616233418,17332126.05625423 
 10/31  08:00:00,10320667.008871188,10320667.008871187,17021106.396194197 
 10/31  09:00:00,10197947.587595208,10197947.587595206,16187592.480608879 
 10/31  10:00:00,9344455.927323382,9344455.927323382,16977773.629253805 
 10/31  11:00:00,9430673.957848484,9430673.957848482,19112392.649863526 
 10/31  12:00:00,8431775.516652882,8431775.51665288,18879039.900434744 
 10/31  13:00:00,8271768.099064323,8271768.099064323,18522879.397080693 
 10/31  14:00:00,8280640.969761321,8280640.969761321,19960525.4919836 
 10/31  15:00:00,7632229.505405545,7632229.505405545,20340620.046693955 
 10/31  16:00:00,10166095.648170594,10166095.648170594,19052251.767643094 
 10/31  17:00:00,12708938.534335678,12708938.534335677,17796357.43445623 
 10/31  18:00:00,18371605.128961314,18371605.128961314,17196072.833316818 
 10/31  19:00:00,17253573.028083496,17253573.028083496,16623531.785191054 
 10/31  20:00:00,17891938.302234888,17891938.302234888,17185636.30819002 
 10/31  21:00:00,15743731.009652253,15743731.009652253,17488298.16313479 
 10/31  22:00:00,14703735.042058578,14703735.042058578,18327943.36263889 
 10/31  23:00:00,13008707.465923999,13008707.465923997,19395742.397962723 
 10/31  24:00:00,11492343.540734302,11492343.540734299,20420887.91906899 
 11/01  01:00:00,10471355.98841209,10471355.98841209,20962995.924199414 
 11/01  02:00:00,11277983.684346031,11277983.684346028,21395463.65712268 
 11/01  03:00:00,10372075.421824714,10372075.421824714,21557600.26413066 
 11/01  04:00:00,11389411.909791026,11389411.909791026,21752078.01966454 
 11/01  05:00:00,12694057.39749014,12694057.39749014,20572317.123146478 
 11/01  06:00:00,16104055.129414987,16104055.129414987,18902730.888358433 
 11/01  07:00:00,13618230.72825832,13618230.728258317,19406794.46981775 
 11/01  08:00:00,10980567.838093394,10980567.838093394,18015206.30865279 
 11/01  09:00:00,9663171.477794148,9663171.477794148,17673193.163454358 
 11/01  10:00:00,10070266.097358312,10070266.097358312,15528791.867579624 
 11/01  11:00:00,8322271.662025094,8322271.662025094,12115111.215496246 
 11/01  12:00:00,8000833.037463181,8000833.03746318,9674352.09346484 
 11/01  13:00:00,7928532.572202806,7928532.572202805,11189349.641490156 
 11/01  14:00:00,7829268.882920245,7829268.882920244,10319875.211338263 
 11/01  15:00:00,7929756.395114966,7929756.395114966,7254048.297102374 
 11/01  16:00:00,8660482.290169591,8660482.290169591,6499018.078756054 
 11/01  17:00:00,12239544.62203988,12239544.62203988,7761554.896430239 
 11/01  18:00:00,17951724.659357052,17951724.659357052,8218686.25275315 
 11/01  19:00:00,16871027.578702167,16871027.578702167,8440915.81159366 
 11/01  20:00:00,17621965.4703694,17621965.4703694,8670541.718849689 
 11/01  21:00:00,15226224.559364142,15226224.559364144,9154676.00928022 
 11/01  22:00:00,14322352.91346289,14322352.91346289,10185773.32583242 
 11/01  23:00:00,12681737.139488706,12681737.139488706,12412840.481654998 
 11/01  24:00:00,11205236.863304427,11205236.863304427,14293671.7054712 
 11/02  01:00:00,11095536.157642232,11095536.157642232,15640821.96345064 
 11/02  02:00:00,10204802.21684557,10204802.21684557,17083351.36224041 
